[Thu May 04 23:58:06.176524 2017] [core:info] [pid 13775] [client 10.240.0.204:53604] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:06.176524 2017] [core:info] [pid 13813] [client 10.240.1.60:47298] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:06.185315 2017] [core:info] [pid 13776] [client 10.240.1.17:40012] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:06.415824 2017] [core:info] [pid 13774] [client 10.240.1.60:47306] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:06.416347 2017] [core:info] [pid 13777] [client 10.240.0.204:53606] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:10.442746 2017] [core:info] [pid 13776] [client 10.240.1.60:47384] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:10.442947 2017] [core:info] [pid 13778] [client 10.240.0.204:53642] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:10.541602 2017] [core:info] [pid 13774] [client 10.240.1.17:40066] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/main.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:10.550306 2017] [core:info] [pid 13777] [client 10.240.1.32:48226] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/js/userinfo.js, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:10.753718 2017] [core:info] [pid 13813] [client 10.240.0.204:53648] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/new-template.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
[Thu May 04 23:58:10.753775 2017] [core:info] [pid 13776] [client 10.240.1.17:40068] AH00128: File does not exist: /home/ubuntu/workspace/public_html/assets/styles/styles.css, referer: https://usurance-new-template-jcrowe85.c9users.io/
